CUDA available: True
CUDA device count: 2
Using CUDA device: cuda:1
CUDA device name:NVIDIA A40
CUDA memory allocated: 0.00 GB
Using device: cuda:1
✓ WandB initialized in Online mode
=================================
Class: Square, Total Samples: 2178
Timestep 0: 85.83%
Timestep 1: 85.94%
Timestep 2: 86.33%
Timestep 3: 86.99%
Timestep 4: 87.76%
Timestep 5: 88.54%
Timestep 6: 89.24%
Timestep 7: 89.84%
Timestep 8: 90.33%
Timestep 9: 90.73%
Timestep 10: 91.06%
Timestep 11: 91.32%
Timestep 12: 91.54%
Timestep 13: 91.72%
Timestep 14: 91.87%
Timestep 15: 92.00%
Timestep 16: 92.11%
Timestep 17: 92.21%
Timestep 18: 92.30%
Timestep 19: 92.38%
Timestep 20: 92.46%
Timestep 21: 92.53%
Timestep 22: 92.59%
Timestep 23: 92.65%
Timestep 24: 92.71%
Timestep 25: 92.76%
Timestep 26: 92.81%
Timestep 27: 92.86%
Timestep 28: 92.91%
Timestep 29: 92.95%
Timestep 30: 93.00%
Timestep 31: 93.04%
Timestep 32: 93.08%
Timestep 33: 93.11%
Timestep 34: 93.15%
Timestep 35: 93.18%
Timestep 36: 93.21%
Timestep 37: 93.24%
Timestep 38: 93.27%
Timestep 39: 93.30%
Timestep 40: 93.32%
Timestep 41: 93.35%
Timestep 42: 93.37%
Timestep 43: 93.39%
Timestep 44: 93.41%
Timestep 45: 93.43%
Timestep 46: 93.45%
Timestep 47: 93.47%
Timestep 48: 93.49%
Timestep 49: 93.50%
Timestep 50: 93.52%
Timestep 51: 93.53%
Timestep 52: 93.55%
Timestep 53: 93.56%
Timestep 54: 93.57%
Timestep 55: 93.59%
Timestep 56: 93.60%
Timestep 57: 93.61%
Timestep 58: 93.62%
Timestep 59: 93.63%
Timestep 60: 93.64%
Timestep 61: 93.64%
Timestep 62: 93.65%
Timestep 63: 93.66%
Timestep 64: 93.67%
Timestep 65: 93.68%
Timestep 66: 93.68%
Timestep 67: 93.69%
Timestep 68: 93.69%
Timestep 69: 93.70%
Timestep 70: 93.71%
Timestep 71: 93.71%
Timestep 72: 93.72%
Timestep 73: 93.72%
Timestep 74: 93.72%
Timestep 75: 93.73%
Timestep 76: 93.73%
Timestep 77: 93.74%
Timestep 78: 93.74%
Timestep 79: 93.74%
Timestep 80: 93.75%
Timestep 81: 93.75%
Timestep 82: 93.75%
Timestep 83: 93.75%
Timestep 84: 93.76%
Timestep 85: 93.76%
Timestep 86: 93.76%
Timestep 87: 93.76%
Timestep 88: 93.76%
Timestep 89: 93.77%
Timestep 90: 93.77%
Timestep 91: 93.77%
Timestep 92: 93.77%
Timestep 93: 93.77%
Timestep 94: 93.77%
Timestep 95: 93.77%
Timestep 96: 93.78%
Timestep 97: 93.78%
Timestep 98: 93.78%
Timestep 99: 93.78%
Timestep 100: 93.78%


=================================
Class: Random, Total Samples: 2334
Timestep 0: 3.67%
Timestep 1: 3.52%
Timestep 2: 3.69%
Timestep 3: 4.25%
Timestep 4: 5.15%
Timestep 5: 6.30%
Timestep 6: 7.61%
Timestep 7: 8.98%
Timestep 8: 10.34%
Timestep 9: 11.64%
Timestep 10: 12.83%
Timestep 11: 13.91%
Timestep 12: 14.87%
Timestep 13: 15.72%
Timestep 14: 16.47%
