CUDA available: True
CUDA device count: 2
Using CUDA device: cuda:1
CUDA device name:NVIDIA A40
CUDA memory allocated: 0.00 GB
Using device: cuda:1
✓ WandB initialized in Online mode
=================================
Class: Square, Total Samples: 2178
Timestep 0: 85.83%
Timestep 1: 86.07%
Timestep 2: 86.66%
Timestep 3: 87.48%
Timestep 4: 88.34%
Timestep 5: 89.16%
Timestep 6: 89.86%
Timestep 7: 90.45%
Timestep 8: 90.93%
Timestep 9: 91.33%
Timestep 10: 91.66%
Timestep 11: 91.94%
Timestep 12: 92.17%
Timestep 13: 92.38%
Timestep 14: 92.57%
Timestep 15: 92.73%
Timestep 16: 92.89%
Timestep 17: 93.03%
Timestep 18: 93.16%
Timestep 19: 93.28%
Timestep 20: 93.39%
Timestep 21: 93.49%
Timestep 22: 93.59%
Timestep 23: 93.68%
Timestep 24: 93.77%
Timestep 25: 93.85%
Timestep 26: 93.93%
Timestep 27: 94.00%
Timestep 28: 94.06%
Timestep 29: 94.13%
Timestep 30: 94.19%
Timestep 31: 94.24%
Timestep 32: 94.29%
Timestep 33: 94.34%
Timestep 34: 94.39%
Timestep 35: 94.43%
Timestep 36: 94.47%
Timestep 37: 94.50%
Timestep 38: 94.54%
Timestep 39: 94.57%
Timestep 40: 94.60%
Timestep 41: 94.63%
Timestep 42: 94.66%
Timestep 43: 94.68%
Timestep 44: 94.70%
Timestep 45: 94.73%
Timestep 46: 94.75%
Timestep 47: 94.76%
Timestep 48: 94.78%
Timestep 49: 94.80%
Timestep 50: 94.81%
Timestep 51: 94.83%
Timestep 52: 94.84%
Timestep 53: 94.85%
Timestep 54: 94.86%
Timestep 55: 94.88%
Timestep 56: 94.89%
Timestep 57: 94.89%
Timestep 58: 94.90%
Timestep 59: 94.91%
Timestep 60: 94.92%
Timestep 61: 94.93%
Timestep 62: 94.93%
Timestep 63: 94.94%
Timestep 64: 94.95%
Timestep 65: 94.95%
Timestep 66: 94.96%
Timestep 67: 94.96%
Timestep 68: 94.97%
Timestep 69: 94.97%
Timestep 70: 94.97%
Timestep 71: 94.98%
Timestep 72: 94.98%
Timestep 73: 94.98%
Timestep 74: 94.98%
Timestep 75: 94.99%
Timestep 76: 94.99%
Timestep 77: 94.99%
Timestep 78: 94.99%
Timestep 79: 95.00%
Timestep 80: 95.00%
Timestep 81: 95.00%
Timestep 82: 95.00%
Timestep 83: 95.00%
Timestep 84: 95.00%
Timestep 85: 95.00%
Timestep 86: 95.01%
Timestep 87: 95.01%
Timestep 88: 95.01%
Timestep 89: 95.01%
Timestep 90: 95.01%
Timestep 91: 95.01%
Timestep 92: 95.01%
Timestep 93: 95.01%
Timestep 94: 95.01%
Timestep 95: 95.01%
Timestep 96: 95.01%
Timestep 97: 95.01%
Timestep 98: 95.01%
Timestep 99: 95.01%
Timestep 100: 95.02%


=================================
Class: Random, Total Samples: 2334
Timestep 0: 3.67%
Timestep 1: 3.58%
Timestep 2: 3.85%
Timestep 3: 4.50%
Timestep 4: 5.43%
Timestep 5: 6.54%
Timestep 6: 7.73%
Timestep 7: 8.91%
Timestep 8: 10.02%
Timestep 9: 11.04%
Timestep 10: 11.95%
Timestep 11: 12.76%
Timestep 12: 13.47%
Timestep 13: 14.11%
Timestep 14: 14.67%
